 x,y,r4,w1,r3,r2,w2,r1,r0,f1,f2,bw1,bw2,bw1-1,bw1-2,bw2-1,bw2-2
10,10,3,0.25,2.75,2.5,0.25,2.25,0.5,12.620,17.070,0.294,1.365,12.438,12.732,16.314,17.679
10,10,3,0.25,2.75,2.5,0.5,2,0.5,12.579,-1.000,0.317,-1.000,12.390,12.707,17.542,-1.000
10,10,3,0.25,2.75,2.5,0.75,1.75,0.5,12.580,-1.000,0.320,-1.000,12.391,12.711,-1.000,-1.000
10,10,3,0.25,2.75,2.5,1,1.5,0.5,12.580,-1.000,0.332,-1.000,12.382,12.714,-1.000,-1.000
10,10,3,0.25,2.75,2.5,1.25,1.25,0.5,12.569,-1.000,0.337,-1.000,12.371,12.708,-1.000,-1.000
10,10,3,0.25,2.75,2.5,1.5,1,0.5,12.480,-1.000,0.351,-1.000,12.268,12.619,-1.000,-1.000
10,10,3,0.25,2.75,2.5,1.75,0.75,0.5,12.490,-1.000,0.348,-1.000,12.285,12.633,-1.000,-1.000
10,10,3,0.25,2.75,2.5,0.25,2.25,0.75,16.990,12.620,0.296,0.714,12.434,12.730,16.612,17.326
10,10,3,0.25,2.75,2.5,0.5,2,0.75,12.572,-1.000,0.313,-1.000,12.380,12.693,17.452,-1.000
10,10,3,0.25,2.75,2.5,0.75,1.75,0.75,12.580,-1.000,0.324,-1.000,12.388,12.712,-1.000,-1.000
10,10,3,0.25,2.75,2.5,1,1.5,0.75,12.580,-1.000,0.335,-1.000,12.376,12.711,-1.000,-1.000
10,10,3,0.25,2.75,2.5,1.25,1.25,0.75,12.581,-1.000,0.337,-1.000,12.379,12.716,-1.000,-1.000
10,10,3,0.25,2.75,2.5,1.5,1,0.75,12.460,-1.000,0.352,-1.000,12.250,12.602,-1.000,-1.000
10,10,3,0.25,2.75,2.5,0.25,2.25,1,12.596,-1.000,0.299,-1.000,12.408,10.708,-1.000,-1.000
10,10,3,0.25,2.75,2.5,0.5,2,1,12.575,-1.000,0.334,-1.000,12.373,12.708,-1.000,-1.000
10,10,3,0.25,2.75,2.5,0.75,1.75,1,12.547,-1.000,0.320,-1.000,12.359,12.680,-1.000,-1.000
10,10,3,0.25,2.75,2.5,1,1.5,1,12.575,-1.000,0.355,-1.000,12.359,12.715,-1.000,-1.000
10,10,3,0.25,2.75,2.5,1.25,1.25,1,12.561,-1.000,0.366,-1.000,12.359,12.726,-1.000,-1.000
10,10,3,0.25,2.75,2.5,0.25,2.25,1.25,12.542,16.604,0.339,1.195,12.317,12.672,15.949,17.144
10,10,3,0.25,2.75,2.5,0.5,2,1.25,12.561,17.808,0.549,-1.000,12.356,12.705,-1.000,-1.000
10,10,3,0.25,2.75,2.5,0.75,1.75,1.25,12.570,-1.000,0.339,-1.000,12.356,12.696,-1.000,-1.000
10,10,3,0.25,2.75,2.5,1,1.5,1.25,12.556,-1.000,0.358,-1.000,12.338,12.696,-1.000,-1.000
10,10,3,0.25,2.75,2.5,0.25,2.25,1.5,12.479,16.267,0.306,0.997,12.299,12.606,15.705,16.703
10,10,3,0.25,2.75,2.5,0.5,2,1.5,12.546,17.453,0.336,1.042,12.344,12.681,16.846,17.888
10,10,3,0.25,2.75,2.5,0.75,1.75,1.5,12.539,-1.000,0.336,-1.000,12.314,12.651,-1.000,-1.000
10,10,3,0.25,2.75,2.5,0.25,2.25,1.75,12.480,15.832,0.350,0.756,12.255,12.621,15.391,16.147
10,10,3,0.25,2.75,2.5,0.5,2,1.75,12.540,17.018,0.320,0.816,12.330,12.651,16.547,17.363
10,10,3,0.25,2.75,2.5,0.25,2.25,2,12.464,15.367,0.348,0.522,12.260,12.597,15.054,15.577
10,10,3,0.5,2.5,2.25,0.25,2,0.5,13.778,-1.000,0.514,-1.000,13.457,13.971,-1.000,-1.000
10,10,3,0.5,2.5,2.25,0.5,1.75,0.5,13.734,-1.000,0.543,-1.000,13.398,13.941,-1.000,-1.000
10,10,3,0.5,2.5,2.25,0.75,1.5,0.5,13.698,-1.000,0.552,-1.000,13.371,13.923,-1.000,-1.000
10,10,3,0.5,2.5,2.25,1,1.25,0.5,13.716,-1.000,0.552,-1.000,13.371,13.923,-1.000,-1.000
10,10,3,0.5,2.5,2.25,1.25,1,0.5,13.698,-1.000,0.597,-1.000,13.343,13.941,-1.000,-1.000
